idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7858519.010346404,3017469.3499716227,9184445.639681906,-16832.348773130216,-3359.0895078587346,20191.438280930743,127394236.97560136,47481320.86912158,238888193.9478555,127122401.55744605,47443083.32535448,239652072.98045096,-271835.41815531254,-38237.54376710206,763879.0325954556,0,0,1,0.0,0.0,3.7560646533966064,0.0,0.0,158.19061946868896,0,0,3.7560646533966064,0,0,1956545,0.0,0.0,14742945.14471348,2,388,533,135.21832752227783
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7858291.875278569,3017453.5300860424,9184688.594635403,-17059.483840965666,-3374.9093934390694,20434.39323442802,127394236.97560136,47481320.86912158,238888193.9478555,127119511.61627968,47443408.79469676,239660754.25728485,-274725.35932168365,-37912.07442481816,772560.3094293475,0,0,1,0.0,0.0,4.223668098449707,0.0,0.0,188.9187126159668,0,0,4.223668098449707,0,0,1912410,0.0,0.0,15121213.218494423,2,388,534,152.05205154418945
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7867918.502859156,3019325.255399422,9173190.2417414,-7432.856260378845,-1503.18408005964,8936.040340425447,127394236.97560136,47481320.86912158,238888193.9478555,127270600.18977253,47464112.86854084,239225611.22768506,-123636.78582882881,-17208.000580742955,337417.2798295617,0,0,1,0.0,0.0,3.6136136054992676,0.0,0.0,156.6694679260254,0,0,3.6136136054992676,0,0,1515969,0.0,0.0,9874846.992931593,2,388,535,130.09008979797363
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7869113.46253049,3019576.839246796,9171743.698222673,-6237.8965890444815,-1251.6002326854505,7489.496821697801,127394236.97560136,47481320.86912158,238888193.9478555,127290418.79346766,47467196.80393437,239173808.19040844,-103818.18213370442,-14124.065187208354,285614.2425529361,0,0,1,0.0,0.0,4.74520206451416,0.0,0.0,214.73193168640137,0,0,4.74520206451416,0,0,1390982,0.0,0.0,9009766.74407053,2,388,536,170.82727432250977
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7864885.256294145,3018702.991027493,9176845.752678351,-10466.102825389244,-2125.448451988399,12591.551277376711,127394236.97560136,47481320.86912158,238888193.9478555,127223547.14442325,47455991.768603824,239380561.80149585,-170689.83117811382,-25329.100517757237,492367.8536403477,0,0,1,0.0,0.0,4.182943344116211,0.0,0.0,165.26493644714355,0,0,4.182943344116211,0,0,2047648,0.0,0.0,12481012.27113573,2,388,537,150.5859603881836
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7867649.72161403,3019298.0055591636,9173486.272826748,-7701.637505504303,-1530.4339203177951,9232.071425773203,127394236.97560136,47481320.86912158,238888193.9478555,127268300.96503113,47464071.61297073,239235573.9627998,-125936.0105702281,-17249.256150849164,347380.01494428515,0,0,1,0.0,0.0,4.818339824676514,0.0,0.0,231.70650672912598,0,0,4.818339824676514,0,0,1558157,0.0,0.0,9884266.077043474,2,388,538,173.4602336883545
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7855843.430761531,3016924.529569531,9187666.039668877,-19507.928358003497,-3903.9099099505693,23411.838267901912,127394236.97560136,47481320.86912158,238888193.9478555,127080473.15041651,47436481.7863977,239799064.54798052,-313763.8251848519,-44839.082723878324,910870.6001250148,0,0,1,0.0,0.0,4.87812614440918,0.0,0.0,206.1232795715332,0,0,4.87812614440918,0,0,2270955,0.0,0.0,17160759.125168893,2,388,539,175.61254119873047
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7860287.319577575,3017797.028592171,9182349.651830243,-15064.039541959763,-3031.4108873102814,18095.45042926818,127394236.97560136,47481320.86912158,238888193.9478555,127144023.89276221,47446576.922094256,239584038.89129832,-250213.08283914626,-34743.94702732563,695844.9434428215,0,0,1,0.0,0.0,4.621253967285156,0.0,0.0,353.55493927001953,0,0,4.621253967285156,0,0,1435535,0.0,0.0,11558852.88923055,2,388,870,166.36514282226562
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7868092.592080078,3019400.380328091,9172941.02759183,-7258.767039456405,-1428.0591513905674,8686.826190855354,127394236.97560136,47481320.86912158,238888193.9478555,127275908.18527412,47465815.77086733,239179797.52284175,-118328.79032723606,-15505.0982542485,291603.5749862492,0,0,1,0.0,0.0,4.270223140716553,0.0,0.0,257.64526748657227,0,0,4.270223140716553,0,0,957056,0.0,0.0,7865936.058201443,2,388,875,153.7280330657959
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7863020.431228828,3018369.938518412,9179043.630252717,-12330.927890706807,-2458.5009610694833,14789.428851742297,127394236.97560136,47481320.86912158,238888193.9478555,127190176.323872,47453583.396032296,239438221.54818627,-204060.65172936022,-27737.473089285195,550027.60033077,0,0,1,0.0,0.0,2.0160303115844727,0.0,0.0,135.94162845611572,0,0,2.0160303115844727,0,0,1455982,0.0,0.0,11672138.20887843,2,388,6651,72.57709121704102
