idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7872617.3606166225,3020172.07750456,9167644.561878812,-2733.998502912,-656.3619749215432,3390.3604778368026,127394236.97560136,47481320.86912158,238888193.9478555,127345211.50655113,47472407.982796825,239165060.59100342,-49025.469050228596,-8912.886324755847,276866.6431479156,0,0,1,0.0,0.0,2.4616782665252686,0.0,0.0,257.6498193740845,0,0,2.4616782665252686,0,0,3393521,0.0,0.0,11528283.469346361,2,123,941,88.62041759490967
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7873525.328099958,3020408.11429901,9166500.557600986,-1826.0310195768252,-420.3251804714091,2246.356200011447,127394236.97560136,47481320.86912158,238888193.9478555,127362847.74778451,47475588.691874996,239051909.43302345,-31389.227816849947,-5732.177246585488,163715.4851679504,0,0,1,0.0,0.0,2.543107032775879,0.0,0.0,286.7046775817871,0,0,2.543107032775879,0,0,2787723,0.0,0.0,9158657.703306474,2,123,942,91.55185317993164
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7874221.858775153,3020621.3262537615,9165590.814971095,-1129.5003443816677,-207.1132257198915,1336.6135701201856,127394236.97560136,47481320.86912158,238888193.9478555,127378174.18988617,47479138.69405988,238933606.3434592,-16062.785715192556,-2182.1750617027283,45412.39560368657,0,0,1,0.0,0.0,2.8034708499908447,0.0,0.0,680.0705137252808,0,0,2.8034708499908447,0,0,1112450,0.0,0.0,5313531.355593212,2,123,943,100.92495059967041
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7873134.382179109,3020433.2118144906,9166866.406006355,-2216.976940425113,-395.22766499081627,2612.204605380073,127394236.97560136,47481320.86912158,238888193.9478555,127364095.8368686,47477630.30705814,238969104.1744881,-30141.138732761145,-3690.5620634406805,80910.22663259506,0,0,1,0.0,0.0,4.579354286193848,0.0,0.0,928.1027641296387,0,0,4.579354286193848,0,0,1374289,0.0,0.0,6566647.784302901,2,123,945,164.85675430297852
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7872428.862570112,3020226.953880747,9167778.183549127,-2922.4965494228527,-601.48559873458,3523.9821481518447,127394236.97560136,47481320.86912158,238888193.9478555,127346419.56012166,47474875.66678405,238999758.01413575,-47817.41547970474,-6445.202337533236,111564.06628024578,0,0,1,0.0,0.0,3.877473831176758,0.0,0.0,246.88321495056152,0,0,3.877473831176758,0,0,328427,0.0,0.0,2495890.531379447,2,124,79,139.58905792236328
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7870350.091671401,3019792.651013184,9170291.257315429,-5001.267448133789,-1035.7884662975557,6037.055914454162,127394236.97560136,47481320.86912158,238888193.9478555,127311888.77699651,47470169.09767843,239088397.20128548,-82348.19860485196,-11151.771443150938,200203.2534299791,0,0,1,0.0,0.0,4.179482460021973,0.0,0.0,231.27402305603027,0,0,4.179482460021973,0,0,441086,0.0,0.0,3169049.6361498833,2,124,83,150.46136856079102
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7870106.183511972,3019735.1646957286,9170592.65179231,-5245.175607562065,-1093.2747837528586,6338.450391335413,127394236.97560136,47481320.86912158,238888193.9478555,127307274.9592015,47469397.40762418,239100792.43751162,-86962.01639986038,-11923.461497403681,212598.48965612054,0,0,1,0.0,0.0,3.1973178386688232,0.0,0.0,178.90425968170166,0,0,3.1973178386688232,0,0,514492,0.0,0.0,3417475.346824038,2,124,86,115.10344219207765
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7871938.641506644,3020123.752082017,9168371.60641129,-3412.7176128905267,-704.6873974646442,4117.405010314658,127394236.97560136,47481320.86912158,238888193.9478555,127337996.38299848,47473587.85514212,239028692.5233231,-56240.59260287881,-7733.013979464769,140498.57546758652,0,0,1,0.0,0.0,4.299360275268555,0.0,0.0,226.74081230163574,0,0,4.299360275268555,0,0,404891,0.0,0.0,2593399.4253896996,2,124,87,154.77696990966797
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7870359.049518937,3019770.36371571,9170304.58676535,-4992.3096005972475,-1058.0757637713104,6050.3853643760085,127394236.97560136,47481320.86912158,238888193.9478555,127309871.1893874,47469505.74902683,239100240.6783104,-84365.78621396422,-11815.120094753802,212046.73045489192,0,0,1,0.0,0.0,4.989900588989258,0.0,0.0,284.9061870574951,0,0,4.989900588989258,0,0,447379,0.0,0.0,3251699.8138879538,2,124,88,179.63642120361328
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7870818.041057155,3019894.4257470965,9169721.53319575,-4533.318062379956,-934.0137323848903,5467.331794776022,127394236.97560136,47481320.86912158,238888193.9478555,127320825.71794513,47471377.693655185,239068833.8694831,-73411.25765623152,-9943.175466395915,180639.92162761092,0,0,1,0.0,0.0,0.5951276421546936,0.0,0.0,42.44406580924988,0,0,0,0,0,454679,0.0,0.0,3908974.0093149543,2,124,124,21.42459511756897
