idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7870384.55763497,3019823.7448314265,9170225.697533559,-4966.801484564319,-1004.6946480548941,5971.496132584289,127394236.97560136,47481320.86912158,238888193.9478555,127316499.94278626,47470960.44422753,239075994.57298222,-77737.03281509876,-10360.424894049764,187800.62512671947,0,0,1,0.0,0.0,3.938976287841797,0.0,0.0,411.50518798828125,0,0,3.938976287841797,0,0,702349,0.0,0.0,4414031.871948481,2,319,641,141.8031463623047
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7867196.86111554,3019160.3744304976,9174076.764453959,-8154.498003994115,-1668.0650489837863,9822.563052983955,127394236.97560136,47481320.86912158,238888193.9478555,127265386.951907,47464138.94979897,239220283.38953057,-128850.02369436622,-17181.9193226099,332089.44167506695,0,0,1,0.0,0.0,3.2485694885253906,0.0,0.0,455.00775146484375,0,0,3.2485694885253906,0,0,706748,0.0,0.0,6082353.805207738,2,319,642,116.94850158691406
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7871103.522338157,3019950.492454055,9169379.985207798,-4247.836781377904,-877.9470254261978,5125.783806823194,127394236.97560136,47481320.86912158,238888193.9478555,127325955.31124784,47472012.55061382,239048846.14434695,-68281.66435351968,-9308.318507760763,160652.19649145007,0,0,1,0.0,0.0,3.8548288345336914,0.0,0.0,478.5010757446289,0,0,3.8548288345336914,0,0,505672,0.0,0.0,3967656.2042823364,2,319,645,138.7738380432129
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7867138.335466604,3019141.3196042324,9174154.344929205,-8213.023652930744,-1687.1198752489872,9900.143528230488,127394236.97560136,47481320.86912158,238888193.9478555,127264000.97484304,47463943.17479557,239228529.0489435,-130236.0007583201,-17377.694326013327,340335.1010879874,0,0,1,0.0,0.0,4.142237663269043,0.0,0.0,475.59215927124023,0,0,4.142237663269043,0,0,716837,0.0,0.0,6151996.929220746,2,319,646,149.12055587768555
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7868121.769266646,3019332.996247603,9172979.234485755,-7229.589852888137,-1495.4432318783365,8725.033084779978,127394236.97560136,47481320.86912158,238888193.9478555,127278871.77369897,47465852.1101342,239191573.75920403,-115365.20190238953,-15468.758987382054,303379.81134852767,0,0,1,0.0,0.0,4.764200210571289,0.0,0.0,490.6813087463379,0,0,4.764200210571289,0,0,661023,0.0,0.0,5737558.690583139,2,319,647,171.5112075805664
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7867315.218542239,3019159.6050457815,9173959.176411966,-8036.140577295795,-1668.834433699958,9704.975010991096,127394236.97560136,47481320.86912158,238888193.9478555,127265330.50217976,47464086.45329966,239229318.66197166,-128906.47342160344,-17234.415821924806,341124.7141161561,0,0,1,0.0,0.0,4.698575019836426,0.0,0.0,422.34685134887695,0,0,4.698575019836426,0,0,701584,0.0,0.0,6000668.166143285,2,319,651,169.14870071411133
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7867335.375674607,3019162.835527102,9173935.788798278,-8015.98344492726,-1665.6039523794316,9681.587397303432,127394236.97560136,47481320.86912158,238888193.9478555,127265375.44411674,47463972.94791067,239219733.89809352,-128861.53148461878,-17347.92121091485,331539.9502380192,0,0,1,0.0,0.0,4.108651161193848,0.0,0.0,339.16787338256836,0,0,4.108651161193848,0,0,674975,0.0,0.0,5816883.546153414,2,319,652,147.91144180297852
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7867440.719911766,3019180.566317127,9173812.713771109,-7910.639207768254,-1647.8731623543426,9558.512370133772,127394236.97560136,47481320.86912158,238888193.9478555,127266559.74658436,47464241.383523986,239224490.4188371,-127677.22901700437,-17079.485597595572,336296.4709815979,0,0,1,0.0,0.0,4.861116886138916,0.0,0.0,375.5559940338135,0,0,4.861116886138916,0,0,683905,0.0,0.0,5800591.5231205085,2,319,655,175.00020790100098
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7866548.447398561,3018968.146558516,9174917.406042917,-8802.91172097344,-1860.2929209652357,10663.204641941935,127394236.97560136,47481320.86912158,238888193.9478555,127250908.08853853,47461953.51737187,239267868.05140585,-143328.8870628327,-19367.35174971074,379674.1035503447,0,0,1,0.0,0.0,4.723812103271484,0.0,0.0,304.73169708251953,0,0,4.723812103271484,0,0,733390,0.0,0.0,6403557.724765602,2,319,720,170.05723571777344
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7869942.842141911,3019678.83860397,9170812.31925409,-5408.516977623105,-1149.6008755112998,6558.117853114381,127394236.97560136,47481320.86912158,238888193.9478555,127309638.08844012,47468846.31236664,239088162.07431364,-84598.88716123998,-12474.556754939258,199968.12645813823,0,0,1,0.0,0.0,4.95266056060791,0.0,0.0,512.3232307434082,0,0,4.95266056060791,0,0,626931,0.0,0.0,4516484.411783872,2,319,722,178.29578018188477
