idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7871851.23081749,3020178.963165038,9168403.806017436,-3500.128302044235,-649.4763144436292,4149.604616461322,127394236.97560136,47481320.86912158,238888193.9478555,127339159.16428523,47474525.18028503,239003211.75929028,-55077.811316132545,-6795.688836552203,115017.81143477559,0,0,1,0.0,0.0,4.933899402618408,0.0,0.0,341.32380867004395,0,0,4.933899402618408,0,0,1083698,0.0,0.0,5810192.52477625,2,110,179,177.6203784942627
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7864439.230703792,3018788.2330069174,9177206.53628929,-10912.128415742889,-2040.206472564023,12952.334888314828,127394236.97560136,47481320.86912158,238888193.9478555,127214225.93997905,47458529.035430096,239288828.24856398,-180011.03562231362,-22791.833691485226,400634.3007084727,0,0,1,0.0,0.0,4.508756637573242,0.0,0.0,699.537654876709,0,0,4.508756637573242,0,0,1017646,0.0,0.0,8105354.47217006,2,110,232,162.31523895263672
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7859494.102354852,3017948.5147002963,9182991.382944794,-15857.256764682941,-2879.924779185094,18737.181543819606,127394236.97560136,47481320.86912158,238888193.9478555,127135799.91290134,47450287.63038544,239462794.588033,-258437.0627000183,-31033.238736137748,574600.6401774883,0,0,1,0.0,0.0,3.736121654510498,0.0,0.0,907.5497531890869,0,0,3.736121654510498,0,0,1341475,0.0,0.0,9120164.010835648,2,110,235,134.50037956237793
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7866076.417070988,3019131.001377225,9175226.5815518,-9274.942048546858,-1697.4381022565067,10972.380150824785,127394236.97560136,47481320.86912158,238888193.9478555,127243465.26873662,47462096.110884964,239211351.14221662,-150771.70686474442,-19224.75823661685,323157.19436112046,0,0,1,0.0,0.0,4.61310338973999,0.0,0.0,941.527193069458,0,0,4.61310338973999,0,0,950910,0.0,0.0,5476597.529993835,2,110,237,166.07172203063965
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7865864.469624801,3019123.039073313,9175446.491301881,-9486.889494733885,-1705.400406168308,11192.289900906384,127394236.97560136,47481320.86912158,238888193.9478555,127242133.45639427,47463008.50607294,239199137.33444542,-152103.51920709014,-18312.363048642874,310943.38658991456,0,0,1,0.0,0.0,3.2360658645629883,0.0,0.0,1159.7425117492676,0,0,3.2360658645629883,0,0,980789,0.0,0.0,6427699.217067295,2,110,241,116.49837112426758
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7863928.657108122,3018789.67923953,9177715.663652334,-11422.702011412941,-2038.7602399513125,13461.462251359597,127394236.97560136,47481320.86912158,238888193.9478555,127211333.36038661,47460287.06727171,239275489.66052815,-182903.61521475017,-21033.801849871874,387295.7126726508,0,0,1,0.0,0.0,4.168320178985596,0.0,0.0,1200.4267330169678,0,0,4.168320178985596,0,0,1045668,0.0,0.0,8012207.233504075,2,110,243,150.05952644348145
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7864302.720012296,3018861.3916117437,9177269.888375973,-11048.639107238501,-1967.0478677377105,13015.686974998564,127394236.97560136,47481320.86912158,238888193.9478555,127217400.3080545,47461172.108271,239279723.30990976,-176836.66754685342,-20148.760850578547,391529.3620542586,0,0,1,0.0,0.0,3.0275089740753174,0.0,0.0,1133.2593183517456,0,0,3.0275089740753174,0,0,1397439,0.0,0.0,8328610.864665864,2,110,245,108.99032306671143
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7861647.012401354,3018308.9378378014,9180478.049760858,-13704.346718180925,-2519.501641680021,16223.848359882832,127394236.97560136,47481320.86912158,238888193.9478555,127166406.0844851,47453502.82341052,239495035.33528182,-227830.89111626148,-27818.04571106285,606841.3874263167,0,0,1,0.0,0.0,4.927380084991455,0.0,0.0,1141.3770961761475,0,0,4.927380084991455,0,0,1693757,0.0,0.0,8888710.409673452,2,110,250,177.38568305969238
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7864450.534020663,3018873.700630234,9177109.7653491,-10900.825098871253,-1954.73884924734,12855.563948124647,127394236.97560136,47481320.86912158,238888193.9478555,127216374.60256441,47460602.98018197,239300020.97333628,-177862.37303695083,-20717.888939611614,411827.025480777,0,0,1,0.0,0.0,3.8970961570739746,0.0,0.0,1261.6956195831299,0,0,3.8970961570739746,0,0,1298838,0.0,0.0,7662374.025673138,2,110,251,140.2954616546631
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7854565.953350497,3017125.7093840614,9188742.337265417,-20785.405769037083,-3702.7300954200327,24488.135864442214,127394236.97560136,47481320.86912158,238888193.9478555,127068317.18079866,47445493.59079104,239705456.70647407,-325919.7948026955,-35827.27833054215,817262.7586185634,0,0,1,0.0,0.0,4.4005208015441895,0.0,0.0,924.7682018280029,0,0,4.4005208015441895,0,0,2100628,0.0,0.0,14155800.37944314,2,110,254,158.41874885559082
10,7875351.3591195345,3020828.4394794814,9164254.201400975,7868394.197328157,3019610.50844736,9172429.294224504,-6957.161791377701,-1217.9310321216471,8175.092823529616,127394236.97560136,47481320.86912158,238888193.9478555,127284832.0398983,47469628.80935406,239137511.51999968,-109404.93570305407,-11692.059767521918,249317.57214418054,0,0,1,0.0,0.0,4.682938098907471,0.0,0.0,854.7771892547607,0,0,4.682938098907471,0,0,1259945,0.0,0.0,7346010.012390287,2,110,255,168.58577156066895
11,7875351.3591195345,3020828.4394794814,9164254.201400975,7866494.377753801,3019267.9366292567,9174671.685616914,-8856.98136573378,-1560.5028502247296,10417.484215939417,127394236.97560136,47481320.86912158,238888193.9478555,127253158.22701465,47465366.687637515,239202026.90313363,-141078.74858671427,-15954.18148406595,313832.9552781284,0,0,1,0.0,0.0,4.938696384429932,0.0,0.0,1175.36549949646,0,0,4.938696384429932,0,0,1103118,0.0,0.0,6671377.575682526,2,110,257,177.79306983947754
12,7875351.3591195345,3020828.4394794814,9164254.201400975,7851981.916221404,3016607.864255833,9191844.219522722,-23369.442898130044,-4220.575223648455,27590.0181217473,127394236.97560136,47481320.86912158,238888193.9478555,127026962.05902156,47440496.12083943,239872571.87518054,-367274.91657979786,-40824.748282149434,984377.9273250401,0,0,1,0.0,0.0,4.666299343109131,0.0,0.0,843.2718830108643,0,0,4.666299343109131,0,0,2469814,0.0,0.0,16679277.909924872,2,110,358,167.9867763519287
13,7875351.3591195345,3020828.4394794814,9164254.201400975,7852440.358649743,3016722.3590462417,9191271.282304013,-22911.000469791703,-4106.080433239695,27017.080903038383,127394236.97560136,47481320.86912158,238888193.9478555,127034798.62842649,47441585.10119322,239822715.94109097,-359438.347174868,-39735.76792836189,934521.9932354689,0,0,1,0.0,0.0,4.719862937927246,0.0,0.0,880.7234001159668,0,0,4.719862937927246,0,0,2349746,0.0,0.0,15714719.058119774,2,110,359,169.91506576538086
14,7875351.3591195345,3020828.4394794814,9164254.201400975,7868410.6494998485,3019512.5013616076,9172510.849138493,-6940.7096196860075,-1315.938117873855,8256.647737517953,127394236.97560136,47481320.86912158,238888193.9478555,127281041.378096,47467053.019620806,239134833.98648164,-113195.59750536084,-14267.849500775337,246640.0386261344,0,0,1,0.0,0.0,4.933921813964844,0.0,0.0,368.1666069030762,0,0,4.933921813964844,0,0,715836,0.0,0.0,5568435.821871913,2,110,432,177.62118530273438
15,7875351.3591195345,3020828.4394794814,9164254.201400975,7859626.469863218,3017929.7856400106,9182877.744496776,-15724.889256316237,-2898.6538394708186,18623.543095801026,127394236.97560136,47481320.86912158,238888193.9478555,127145824.69961004,47452235.2097215,239530143.05913332,-248412.2759913206,-29085.659400083125,641949.1112778187,0,0,1,0.0,0.0,4.262353420257568,0.0,0.0,685.2880725860596,0,0,4.262353420257568,0,0,1927802,0.0,0.0,13505062.30561273,2,110,557,153.44472312927246
