idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7866122.686282086,3019008.133243821,9175303.1804741,-9228.672837448306,-1820.3062356603332,11048.979073125869,127394236.97560136,47481320.86912158,238888193.9478555,127238426.73243508,47460532.69904764,239243631.6740799,-155810.24316628277,-20788.17007394135,355437.72622439265,0,0,1,0.0,0.0,1.0373173952102661,0.0,0.0,40.06833028793335,0,0,1.0373173952102661,0,0,988226,0.0,0.0,6808834.499091417,2,93,97,37.34342622756958
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7867834.452158892,3019344.4794021463,9173255.068438955,-7516.906960642897,-1483.9600773351267,9000.867037979886,127394236.97560136,47481320.86912158,238888193.9478555,127266032.25637624,47464184.96148935,239171776.60282135,-128204.71922512352,-17135.907632231712,283582.65496584773,0,0,1,0.0,0.0,2.2657439708709717,0.0,0.0,138.88643646240234,0,0,2.2657439708709717,0,0,966525,0.0,0.0,6129361.407621921,2,93,98,81.56678295135498
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7862389.34407695,3018331.654464379,9179713.001458643,-12962.01504258439,-2496.785015102476,15458.800057668239,127394236.97560136,47481320.86912158,238888193.9478555,127179509.60850407,47453601.17113012,239408978.37987262,-214727.36709728837,-27719.69799146056,520784.43201711774,0,0,1,0.0,0.0,3.9534664154052734,0.0,0.0,196.2355899810791,0,0,3.9534664154052734,0,0,1250275,0.0,0.0,8876830.149115562,2,93,99,142.32479095458984
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7867876.1629568245,3019371.588401858,9173186.248641258,-7475.196162709966,-1456.8510776231997,8932.04724028334,127394236.97560136,47481320.86912158,238888193.9478555,127268645.71808338,47464779.06647183,239161907.5216634,-125591.25751797855,-16541.802649751306,273713.5738078952,0,0,1,0.0,0.0,2.4653148651123047,0.0,0.0,144.3332862854004,0,0,2.4653148651123047,0,0,899103,0.0,0.0,5902932.423830152,2,93,101,88.75133514404297
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7867337.555411985,3019286.108111647,9173810.336476417,-8013.8037075493485,-1542.3313678344712,9556.135075442493,127394236.97560136,47481320.86912158,238888193.9478555,127261479.92154342,47463976.51075149,239170385.766711,-132757.05405794084,-17344.35837008804,282191.81885549426,0,0,1,0.0,0.0,2.0179176330566406,0.0,0.0,95.57662010192871,0,0,2.0179176330566406,0,0,868309,0.0,0.0,6200172.094021946,2,93,102,72.64503479003906
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7869945.961479644,3019781.5507075796,9170706.487812812,-5405.397639890201,-1046.8887719018385,6452.286411836743,127394236.97560136,47481320.86912158,238888193.9478555,127302853.45296128,47469489.73474295,239080826.2320806,-91383.52264007926,-11831.134378634393,192632.28422510624,0,0,1,0.0,0.0,4.636408805847168,0.0,0.0,228.73659896850586,0,0,4.636408805847168,0,0,753008,0.0,0.0,4498323.166826909,2,93,103,166.91071701049805
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7867864.010283248,3019405.034097722,9173164.955618992,-7487.348836286925,-1423.4053817596287,8910.754218017682,127394236.97560136,47481320.86912158,238888193.9478555,127269599.20812339,47465478.926311,239142799.39128846,-124637.7674779743,-15841.942810580134,254605.44343295693,0,0,1,0.0,0.0,3.4612812995910645,0.0,0.0,243.25542068481445,0,0,3.4612812995910645,0,0,843500,0.0,0.0,5692969.855825703,2,93,105,124.60612678527832
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7865295.799847298,3018549.804110518,9176588.396042174,-10055.55927223619,-2278.635368963238,12334.194641198963,127394236.97560136,47481320.86912158,238888193.9478555,127213288.03045031,47447683.670961976,239341542.27904585,-180948.94515104592,-33637.198159605265,453348.3311903477,0,0,1,0.0,0.0,3.138709545135498,0.0,0.0,683.266679763794,0,0,3.138709545135498,0,0,839704,0.0,0.0,6062970.619272371,2,93,106,112.99354362487792
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7861281.224268275,3018104.1995026157,9181048.576229172,-14070.13485125918,-2724.239976865705,16794.374828197062,127394236.97560136,47481320.86912158,238888193.9478555,127161783.63014778,47450063.30698936,239440757.20543414,-232453.34545357525,-31257.56213222444,552563.2575786412,0,0,1,0.0,0.0,3.2167482376098633,0.0,0.0,186.45352363586426,0,0,3.2167482376098633,0,0,1277021,0.0,0.0,10018339.465404749,2,93,108,115.80293655395509
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7869279.124589578,3019686.4131423947,9171468.462268004,-6072.234529956244,-1142.0263370866887,7214.2608670294285,127394236.97560136,47481320.86912158,238888193.9478555,127294052.25100265,47468981.89639825,239092010.67000875,-100184.72459870577,-12338.972723335028,203816.7221532464,0,0,1,0.0,0.0,4.458013534545898,0.0,0.0,275.8587112426758,0,0,4.458013534545898,0,0,795377,0.0,0.0,5121531.514277838,2,93,109,160.48848724365234
10,7875351.3591195345,3020828.4394794814,9164254.201400975,7865246.929981094,3018892.668545132,9176294.401473772,-10104.429138440639,-1935.7709343493916,12040.200072797015,127394236.97560136,47481320.86912158,238888193.9478555,127226891.48820454,47459976.094232865,239284133.7608124,-167345.48739682138,-21344.774888716638,395939.8129568994,0,0,1,0.0,0.0,4.420405864715576,0.0,0.0,294.9448070526123,0,0,4.420405864715576,0,0,1049159,0.0,0.0,7652541.412100638,2,93,110,159.13461112976074
