idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7867828.753435368,3019213.9517654735,9173391.294799162,-7522.605684166774,-1614.4877140079625,9137.09339818731,127394236.97560136,47481320.86912158,238888193.9478555,127271428.77470618,47464132.04391076,239227572.109317,-122808.20089517534,-17188.82521082461,339378.1614615023,0,0,1,0.0,0.0,0.46038463711738586,0.0,0.0,33.09323251247406,0,0,0,0,0,722250,0.0,0.0,6522938.253108919,2,723,723,16.57384693622589
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7866788.665110064,3018991.2258961005,9174654.108993817,-8562.694009470753,-1837.2135833809152,10399.907592842355,127394236.97560136,47481320.86912158,238888193.9478555,127255989.07705638,47461429.52753398,239291221.7608079,-138247.89854498208,-19891.341587603092,403027.81295239925,0,0,1,0.0,0.0,1.4510356187820435,0.0,0.0,128.41531705856323,0,0,1.4510356187820435,0,0,867142,0.0,0.0,7654665.714332237,2,723,724,52.237282276153564
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7866969.253757229,3019038.8194832653,9174425.926759515,-8382.105362305418,-1789.6199962161481,10171.725358540192,127394236.97560136,47481320.86912158,238888193.9478555,127257585.98069514,47462287.11908786,239260423.5339498,-136650.99490621686,-19033.750033721328,372229.58609429,0,0,1,0.0,0.0,1.0118844509124756,0.0,0.0,39.085927963256836,0,0,1.0118844509124756,0,0,800465,0.0,0.0,6819523.0332534835,2,723,725,36.42784023284912
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7865919.494117773,3018797.31618766,9175717.189694617,-9431.865001761355,-2031.123291821219,11462.988293642178,127394236.97560136,47481320.86912158,238888193.9478555,127237989.89821619,47459881.343359634,239302597.10816246,-156247.07738517225,-21439.525761947036,414403.16030696034,0,0,1,0.0,0.0,4.721554279327393,0.0,0.0,259.85357666015625,0,0,4.721554279327393,0,0,752019,0.0,0.0,6428295.062214629,2,723,752,169.97595405578613
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7865844.025883616,3018759.7338786502,9175830.240237737,-9507.333235918544,-2068.705600831192,11576.038836762309,127394236.97560136,47481320.86912158,238888193.9478555,127235463.36372395,47459669.370303825,239319345.42637423,-158773.6118774116,-21651.498817756772,431151.47851872444,0,0,1,0.0,0.0,4.435754299163818,0.0,0.0,281.9025821685791,0,0,4.435754299163818,0,0,799114,0.0,0.0,6677137.5510549955,2,723,753,159.68715476989746
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7869812.746511191,3019622.7781263436,9170998.475362493,-5538.612608343363,-1205.6613531378098,6744.27396151796,127394236.97560136,47481320.86912158,238888193.9478555,127307656.35434452,47467736.01578789,239127035.42847714,-86580.62125684321,-13584.853333689272,238841.4806216359,0,0,1,0.0,0.0,4.775975227355957,0.0,0.0,294.4925422668457,0,0,4.775975227355957,0,0,1295940,0.0,0.0,6037862.805335412,2,723,839,171.93510818481445
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7858081.13856825,3017161.9367805,9185190.924651239,-17270.22055128403,-3666.502698981203,20936.723250264302,127394236.97560136,47481320.86912158,238888193.9478555,127125581.65311377,47440677.9573279,239780290.38621086,-268655.3224875927,-40642.911793679,892096.4383553565,0,0,1,0.0,0.0,4.235849380493164,0.0,0.0,381.06130599975586,0,0,4.235849380493164,0,0,2440812,0.0,0.0,14637796.42951864,2,723,849,152.4905776977539
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7856607.799974026,3016860.857512595,9186965.34251337,-18743.559145508334,-3967.581966886297,22711.14111239463,127394236.97560136,47481320.86912158,238888193.9478555,127103815.1433429,47437217.648153156,239860646.39817044,-290421.8322584629,-44103.220968425274,972452.450314939,0,0,1,0.0,0.0,4.543583393096924,0.0,0.0,405.13489723205566,0,0,4.543583393096924,0,0,2669543,0.0,0.0,15750309.369237304,2,723,851,163.56900215148926
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7855630.633095324,3016694.9400494723,9188108.426855246,-19720.726024210453,-4133.499430009164,23854.22545427084,127394236.97560136,47481320.86912158,238888193.9478555,127087033.8839567,47437802.986905135,239891211.1680747,-307203.09164465964,-43517.8822164461,1003017.2202191949,0,0,1,0.0,0.0,4.1819233894348145,0.0,0.0,560.2089099884033,0,0,4.1819233894348145,0,0,2433937,0.0,0.0,14437692.569872824,2,723,859,150.54924201965332
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7856737.175413233,3016908.9218269014,9186787.902759884,-18614.183706301264,-3919.517652580049,22533.701358908787,127394236.97560136,47481320.86912158,238888193.9478555,127098618.43391035,47441057.24440497,239835931.9156984,-295618.54169100523,-40263.62471660972,947737.9678429067,0,0,1,0.0,0.0,4.788784980773926,0.0,0.0,496.15882873535156,0,0,4.788784980773926,0,0,2105219,0.0,0.0,12603034.918488622,2,723,860,172.39625930786133
