idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7869844.275750646,3019882.1768867704,9170707.547362588,-5507.083368888125,-946.2625927110203,6453.345961613581,127394236.97560136,47481320.86912158,238888193.9478555,127300752.99302673,47472139.7562742,239053918.1916443,-93483.9825746268,-9181.11284738034,165724.24378880858,0,0,1,0.0,0.0,2.296164035797119,0.0,0.0,88.81138801574707,0,0,2.296164035797119,0,0,432360,0.0,0.0,2578396.5262566805,2,522,524,82.66190528869629
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7869657.158404059,3019818.3746033674,9170958.46699255,-5694.200715475716,-1010.0648761140183,6704.265591574833,127394236.97560136,47481320.86912158,238888193.9478555,127294731.83775099,47471076.00089307,239068619.6724552,-99505.13785037398,-10244.868228510022,180425.72459968925,0,0,1,0.0,0.0,1.5220478773117065,0.0,0.0,58.79194164276123,0,0,1.5220478773117065,0,0,407818,0.0,0.0,2338141.541688715,2,522,525,54.793723583221436
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7871067.405045242,3020058.56049449,9169308.034460284,-4283.954074292444,-769.878984991461,5053.83305930905,127394236.97560136,47481320.86912158,238888193.9478555,127317879.12763725,47473314.28070325,239026001.77078196,-76357.84796410799,-8006.5884183347225,137807.8229264617,0,0,1,0.0,0.0,3.754514217376709,0.0,0.0,381.2753047943115,0,0,3.754514217376709,0,0,345649,0.0,0.0,1832385.8311962585,2,522,526,135.16251182556152
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7874574.853853144,3020687.614098292,9165171.532048495,-776.5052663907409,-140.82538118958473,917.330647520721,127394236.97560136,47481320.86912158,238888193.9478555,127380215.22487421,47479786.573081516,238919571.0222645,-14021.750727146864,-1534.2960400655866,31377.074409008026,0,0,1,0.0,0.0,3.650390386581421,0.0,0.0,239.81554698944092,0,0,3.650390386581421,0,0,232346,0.0,0.0,696390.1195268082,2,522,528,131.41405391693115
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7871960.640642874,3020249.978115342,9168223.381241757,-3390.7184766605496,-578.4613641393371,3969.1798407826573,127394236.97560136,47481320.86912158,238888193.9478555,127334384.39594929,47475467.305008404,238978430.77496117,-59852.579652071,-5853.564113177359,90236.82710567117,0,0,1,0.0,0.0,4.211340427398682,0.0,0.0,261.81754302978516,0,0,4.211340427398682,0,0,332202,0.0,0.0,1631580.988922254,2,522,529,151.60825538635254
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7871768.605677056,3020210.174769294,9168455.219553666,-3582.753442478366,-618.2647101874463,4201.018152691424,127394236.97560136,47481320.86912158,238888193.9478555,127331405.10479958,47475084.04353929,238987481.00429377,-62831.87080177665,-6236.825582288206,99287.05643826723,0,0,1,0.0,0.0,3.0885581970214844,0.0,0.0,396.86366271972656,0,0,3.0885581970214844,0,0,358331,0.0,0.0,1782970.4167865824,2,522,530,111.18809509277344
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7872754.805728089,3020382.324639899,9167296.869631974,-2596.553391445428,-446.11483958223835,3042.668230999261,127394236.97560136,47481320.86912158,238888193.9478555,127349051.18904142,47476833.357881725,238957060.15177462,-45185.786559939384,-4487.511239856482,68866.20391911268,0,0,1,0.0,0.0,4.335513591766357,0.0,0.0,445.0894947052002,0,0,4.335513591766357,0,0,262427,0.0,0.0,1339854.298345918,2,522,532,156.07848930358887
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7872439.267781942,3020302.076296693,9167692.65592136,-2912.091337592341,-526.3631827882491,3438.4545203857124,127394236.97560136,47481320.86912158,238888193.9478555,127348376.77039845,47476137.20620631,239008989.96702436,-45860.205202907324,-5183.662915274501,120796.01916885376,0,0,1,0.0,0.0,4.213048934936523,0.0,0.0,701.9488220214844,0,0,4.213048934936523,0,0,416707,0.0,0.0,1189421.836334853,2,522,759,151.66976165771484
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7874367.188548192,3020652.7632662323,9165414.048185546,-984.1705713421106,-175.6762132490985,1159.8467845711857,127394236.97560136,47481320.86912158,238888193.9478555,127378995.48932625,47479682.60297535,238922788.42328268,-15241.486275106668,-1638.2661462277174,34594.47542718053,0,0,1,0.0,0.0,3.0127756595611572,0.0,0.0,613.851954460144,0,0,3.0127756595611572,0,0,177917,0.0,0.0,418691.7769336443,2,522,760,108.45992374420166
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7869216.253935553,3019772.316860097,9171445.429204313,-6135.105183981359,-1056.122619384434,7191.227803338319,127394236.97560136,47481320.86912158,238888193.9478555,127294204.86122121,47471060.72647118,239109669.17696086,-100032.11438015103,-10260.142650403082,221475.22910535336,0,0,1,0.0,0.0,4.338135719299316,0.0,0.0,373.0953025817871,0,0,4.338135719299316,0,0,684054,0.0,0.0,3544331.572713673,2,522,761,156.1728858947754
