idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7855866.595660671,3016701.760301962,9187865.64403735,-19484.763458863832,-4126.6791775194,23611.442636374384,127394236.97560136,47481320.86912158,238888193.9478555,127089660.98381546,47429805.90285255,239911734.8682881,-304575.9917858988,-51514.96626903117,1023540.9204325974,0,0,1,0.0,0.0,2.7973039150238037,0.0,0.0,119.89613342285156,0,0,2.7973039150238037,0,0,4945804,0.0,0.0,30425738.537018538,2,168,548,100.70294094085693
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7836210.7313560415,3012487.866853755,9211735.401790265,-39140.62776349299,-8340.572625726461,47481.20038929023,127394236.97560136,47481320.86912158,238888193.9478555,126786723.79057114,47376322.44426952,240991263.82149968,-607513.1850302219,-104998.42485205829,2103069.873644173,0,0,1,0.0,0.0,1.9993387460708618,0.0,0.0,84.98094034194946,0,0,1.9993387460708618,0,0,6734346,0.0,0.0,42428410.84615049,2,168,549,71.97619485855103
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7837772.460903275,3012955.3738187654,9209706.165277893,-37578.898216259666,-7873.0656607160345,45451.96387691796,127394236.97560136,47481320.86912158,238888193.9478555,126817830.16172557,47386331.132626966,240850573.76071718,-576406.8138757944,-94989.73649461567,1962379.812861681,0,0,1,0.0,0.0,3.1702017784118652,0.0,0.0,137.0459747314453,0,0,3.1702017784118652,0,0,5727816,0.0,0.0,38864838.01109344,2,168,550,114.12726402282715
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7834912.60784878,3011934.8593788245,9213586.53277233,-40438.75127075426,-8893.580100656953,49332.3313713558,127394236.97560136,47481320.86912158,238888193.9478555,126762708.34498663,47363011.444683105,241216536.60440576,-631528.6306147277,-118309.42443847656,2328342.6565502584,0,0,1,0.0,0.0,1.9071671962738037,0.0,0.0,98.04191493988037,0,0,1.9071671962738037,0,0,8471153,0.0,0.0,48589870.914827175,2,168,551,68.65801906585693
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7836598.365659472,3012663.891445334,9211171.742895175,-38752.99346006289,-8164.548034147359,46917.541494200006,127394236.97560136,47481320.86912158,238888193.9478555,126798178.87799017,47381517.51865405,240928221.9535527,-596058.0976111889,-99803.35046753287,2040028.0056971908,0,0,1,0.0,0.0,2.7721827030181885,0.0,0.0,120.11083316802979,0,0,2.7721827030181885,0,0,6142542,0.0,0.0,40397420.27544306,2,168,552,99.79857730865479
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7850777.248486409,3015484.514724541,9194172.236789078,-24574.11063312553,-5343.924754940439,29918.035388102755,127394236.97560136,47481320.86912158,238888193.9478555,127008907.4826142,47408661.69819062,240305596.04823923,-385329.4929871559,-72659.17093095928,1417402.1003837287,0,0,1,0.0,0.0,2.172010898590088,0.0,0.0,146.11827278137207,0,0,2.172010898590088,0,0,8324193,0.0,0.0,42903687.39989843,2,168,553,78.19239234924316
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7856622.260027198,3016961.3604800077,9186850.379492803,-18729.09909233637,-3867.0789994737133,22596.17809182778,127394236.97560136,47481320.86912158,238888193.9478555,127111926.48541832,47434580.27418649,239763547.17995253,-282310.4901830405,-46740.59493508935,875353.2320970297,0,0,1,0.0,0.0,3.7725350856781006,0.0,0.0,229.1006555557251,0,0,3.7725350856781006,0,0,4484978,0.0,0.0,29202893.57953422,2,168,554,135.81126308441162
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7858574.903860027,3017376.5192616438,9184482.576878347,-16776.455259507522,-3451.9202178376727,20228.375477371737,127394236.97560136,47481320.86912158,238888193.9478555,127134022.7085426,47439201.72824299,239760027.01098117,-260214.26705875993,-42119.14087858796,871833.06312567,0,0,1,0.0,0.0,4.1923112869262695,0.0,0.0,201.70874404907227,0,0,4.1923112869262695,0,0,4420513,0.0,0.0,28126605.084517207,2,168,555,150.9232063293457
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7860488.887124682,3017678.4099224606,9182266.702952866,-14862.471994852647,-3150.029557020869,18012.501551890746,127394236.97560136,47481320.86912158,238888193.9478555,127159702.69428433,47442373.67267293,239722788.8013699,-234534.28131702542,-38947.19644865394,834594.8535144031,0,0,1,0.0,0.0,4.982980251312256,0.0,0.0,267.2095241546631,0,0,4.982980251312256,0,0,3923293,0.0,0.0,24788375.716634538,2,168,840,179.3872890472412
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7848158.965230586,3014921.3437911435,9197353.690978287,-27192.393888948485,-5907.095688337926,33099.48957731202,127394236.97560136,47481320.86912158,238888193.9478555,126949855.03907715,47405028.578383684,240621040.24517304,-444381.93652421236,-76292.29073789716,1732846.2973175347,0,0,1,0.0,0.0,3.192734956741333,0.0,0.0,239.50554943084717,0,0,3.192734956741333,0,0,7096851,0.0,0.0,39555358.284209125,2,168,927,114.938458442688
10,7875351.3591195345,3020828.4394794814,9164254.201400975,7828861.427950767,3011048.961815075,9220523.610234167,-46489.93116876762,-9779.477664406411,56269.40883319266,127394236.97560136,47481320.86912158,238888193.9478555,126645878.67385459,47360423.471274436,241683374.2690699,-748358.3017467707,-120897.3978471458,2795180.3212144077,0,0,1,0.0,0.0,3.6733412742614746,0.0,0.0,260.5910396575928,0,0,3.6733412742614746,0,0,8486709,0.0,0.0,49359140.94504887,2,168,928,132.2402858734131
11,7875351.3591195345,3020828.4394794814,9164254.201400975,7835195.17271168,3012381.727218173,9212857.100070156,-40156.18640785478,-8446.71226130845,48602.89866918139,127394236.97560136,47481320.86912158,238888193.9478555,126747891.27744326,47376603.10119242,241262417.06262267,-646345.6981581002,-104717.7679291591,2374223.114767164,0,0,1,0.0,0.0,3.3376779556274414,0.0,0.0,279.0556011199951,0,0,3.3376779556274414,0,0,7552190,0.0,0.0,44107418.32945287,2,168,929,120.15640640258788
