idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7874002.1611635545,3020560.4839210487,9165871.354915394,-1349.1979559799656,-267.9555584327318,1617.153514418751,127394236.97560136,47481320.86912158,238888193.9478555,127370602.5074251,47477779.56082861,238929080.9633531,-23634.46817626059,-3541.3082929700613,40887.01549759507,0,0,1,0.0,0.0,3.101741075515747,0.0,0.0,590.917067527771,0,0,3.101741075515747,0,0,169693,0.0,0.0,1171755.2001144886,2,279,25,111.6626787185669
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7875302.594665351,3020817.8788253083,9164313.526509287,-48.76445418316871,-10.560654173139483,59.32510831207037,127394236.97560136,47481320.86912158,238888193.9478555,127393342.84075496,47481168.058736764,238890505.41275215,-894.1348464041948,-152.81038481742144,2311.4648966491222,0,0,1,0.0,0.0,2.229215383529663,0.0,0.0,155.02825927734375,0,0,2.229215383529663,0,0,55524,0.0,0.0,105599.45217985813,2,279,26,80.25175380706787
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7875120.828938284,3020777.9733931855,9164535.197668456,-230.53018125053495,-50.466086295899004,280.9962674807757,127394236.97560136,47481320.86912158,238888193.9478555,127389800.23400892,47480539.71766951,238896284.1906357,-4436.741592437029,-781.1514520719647,8090.242780208588,0,0,1,0.0,0.0,3.4977829456329346,0.0,0.0,256.240439414978,0,0,3.4977829456329346,0,0,68707,0.0,0.0,176147.9537639618,2,279,27,125.92018604278564
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7874690.673888226,3020695.6190842995,9165047.707027437,-660.6852313084528,-132.82039518188685,793.5056264624,127394236.97560136,47481320.86912158,238888193.9478555,127382468.7029089,47479484.6808176,238906898.5327608,-11768.272692456841,-1836.1883039847016,18704.584905296564,0,0,1,0.0,0.0,4.795429229736328,0.0,0.0,668.5867767333984,0,0,4.795429229736328,0,0,85547,0.0,0.0,559145.8946904283,2,279,28,172.6354522705078
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7874696.667346775,3020682.897237341,9165054.435415823,-654.691772759892,-145.5422421405092,800.2340148482472,127394236.97560136,47481320.86912158,238888193.9478555,127382323.85222924,47479005.4522132,238909559.97072718,-11913.123372122645,-2315.4169083833694,21366.022871673107,0,0,1,0.0,0.0,4.233502388000488,0.0,0.0,2703.426280975342,0,0,4.233502388000488,0,0,78795,0.0,0.0,287584.78104899975,2,279,29,152.40608596801758
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7872660.45728579,3020305.967260216,9167467.575454015,-2690.9018337447196,-522.4722192655317,3213.3740530405194,127394236.97560136,47481320.86912158,238888193.9478555,127346457.3907884,47475042.71755238,238967734.16650492,-47779.58481295407,-6278.151569202542,79540.21864941716,0,0,1,0.0,0.0,4.87060022354126,0.0,0.0,343.5981159210205,0,0,4.87060022354126,0,0,328203,0.0,0.0,2146136.087759491,2,279,30,175.34160804748535
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7875350.269735682,3020828.1074207425,9164255.622843577,-1.0893838526681066,-0.33205873891711235,1.4214426018297672,127394236.97560136,47481320.86912158,238888193.9478555,127394218.99378362,47481317.65789572,238888497.02148864,-17.981817737221718,-3.2112258598208427,303.0736331343651,0,0,1,0.0,0.0,1.1879796981811523,0.0,0.0,61.006432056427,0,0,0,0,0,9085,0.0,0.0,50526.792526364436,2,279,279,42.767269134521484
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7872824.055035912,3020332.695568704,9167277.249395372,-2527.3040836220607,-495.74391077738255,3023.0479943975806,127394236.97560136,47481320.86912158,238888193.9478555,127348469.05273421,47475398.30210547,238961435.97143888,-45767.922867149115,-5922.567016109824,73242.02358338237,0,0,1,0.0,0.0,4.577937602996826,0.0,0.0,743.0953044891357,0,0,4.577937602996826,0,0,296993,0.0,0.0,1875695.2059287585,2,279,281,164.80575370788574
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7874897.759931069,3020727.877704995,9164808.362363918,-453.59918846562505,-100.5617744862102,554.1609629429877,127394236.97560136,47481320.86912158,238888193.9478555,127385433.62497115,47479723.89297105,238901060.70041648,-8803.35063020885,-1596.9761505275965,12866.752560973167,0,0,1,0.0,0.0,3.8858401775360107,0.0,0.0,1835.3414583206177,0,0,3.8858401775360107,0,0,85560,0.0,0.0,192885.44856739044,2,279,288,139.8902463912964
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7875271.271708373,3020810.5808728863,9164352.147418741,-80.08741116151214,-17.858606595080346,97.94601776637137,127394236.97560136,47481320.86912158,238888193.9478555,127392632.10612962,47481048.05948736,238891324.01792428,-1604.869471743703,-272.80963422358036,3130.0700687766075,0,0,1,0.0,0.0,3.3767361640930176,0.0,0.0,103.04928588867189,0,0,3.3767361640930176,0,0,52445,0.0,0.0,156635.07734043346,2,279,4787,121.56250190734862
