idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.359,3020828.439,9164254.201,7872651.332,3019701.601,9168081.067,-2700.027077,-1126.838556,3826.865633,127394237,47481320.87,238888193.9,127357793.1,47467940.43,238980937,-36443.8542,-13380.44216,92743.07468,0,0,1,0,0,3.365284443,0,0,495.1943264,0,0,3.365284443,0,0,638014,0,0,5404045.242,2,7906,7910,121.1502399
1,7875351.359,3020828.439,9164254.201,7871897.887,3019375.359,9169160.754,-3453.47164,-1453.080854,4906.552495,127394237,47481320.87,238888193.9,127347624.3,47464012.11,239002221.9,-46612.63545,-17308.7632,114027.9497,0,0,1,0,0,1.119605303,0,0,94.99032497,0,0,1.119605303,0,0,471878,0,0,6478983.571,2,7906,7911,40.3057909
2,7875351.359,3020828.439,9164254.201,7872150.098,3019481.12,9168802.782,-3201.261096,-1347.319194,4548.58029,127394237,47481320.87,238888193.9,127350979.5,47465274.46,238993187.6,-43257.43992,-16046.40822,104993.6255,0,0,1,0,0,1.149526119,0,0,109.689085,0,0,1.149526119,0,0,483502,0,0,6184584.158,2,7906,7912,41.38294029
3,7875351.359,3020828.439,9164254.201,7872232.904,3019516.689,9168684.407,-3118.455323,-1311.75066,4430.205984,127394237,47481320.87,238888193.9,127351979.1,47465694.44,238989760.7,-42257.87533,-15626.42993,101566.7765,0,0,1,0,0,2.408096075,0,0,251.2971468,0,0,2.408096075,0,0,471024,0,0,5992908.991,2,7906,7914,86.6914587
4,7875351.359,3020828.439,9164254.201,7872267.945,3019538.251,9168627.803,-3083.413714,-1290.18829,4373.602004,127394237,47481320.87,238888193.9,127352717.7,47466030.86,238987887.3,-41519.2916,-15290.0047,99693.402,0,0,1,0,0,2.256239653,0,0,163.3518362,0,0,2.256239653,0,0,396053,0,0,5946681.941,2,7906,7915,81.22462749
5,7875351.359,3020828.439,9164254.201,7872533.181,3019641.872,9168258.947,-2818.177882,-1186.567714,4004.745596,127394237,47481320.87,238888193.9,127356090.2,47467189.99,238979196.6,-38146.7837,-14130.87427,91002.63976,0,0,1,0,0,2.618222952,0,0,304.9345808,0,0,2.618222952,0,0,375836,0,0,5727857.07,2,7906,7916,94.25602627
6,7875351.359,3020828.439,9164254.201,7871431.849,3019184.605,9169817.546,-3919.510168,-1643.834872,5563.34504,127394237,47481320.87,238888193.9,127341101.7,47461738.81,239019975.9,-53135.31602,-19582.05475,131781.9276,0,0,1,0,0,4.550205231,0,0,209.709486,0,0,4.550205231,0,0,427295,0,0,6890792.355,2,7906,8207,163.8073883
7,7875351.359,3020828.439,9164254.201,7871735.939,3019311.705,9169386.356,-3615.420345,-1516.734188,5132.154533,127394237,47481320.87,238888193.9,127345279.6,47463255.58,239009018.5,-48957.40295,-18065.28806,120824.5501,0,0,1,0,0,4.065822601,0,0,196.6946468,0,0,4.065822601,0,0,410027,0,0,6583067.562,2,7906,8211,146.3696136
8,7875351.359,3020828.439,9164254.201,7871542.111,3019226.39,9169665.499,-3809.247893,-1602.049355,5411.297248,127394237,47481320.87,238888193.9,127342581.9,47462200.98,239017302.1,-51655.10787,-19119.89256,129108.1381,0,0,1,0,0,3.123008251,0,0,153.8677368,0,0,3.123008251,0,0,428292,0,0,6896191.379,2,7906,8213,112.428297
9,7875351.359,3020828.439,9164254.201,7872144.511,3019480.644,9168808.846,-3206.848606,-1347.795675,4554.644281,127394237,47481320.87,238888193.9,127350801,47465248.51,238995158.6,-43435.97826,-16072.35485,106964.69,0,0,1,0,0,4.147316933,0,0,255.7389908,0,0,4.147316933,0,0,388360,0,0,6153273.63,2,7906,8214,149.3034096
10,7875351.359,3020828.439,9164254.201,7872367.859,3019568.359,9168497.782,-2983.500126,-1260.080078,4243.580204,127394237,47481320.87,238888193.9,127353864.8,47466222.6,238987619.2,-40372.13366,-15098.26484,99425.27314,0,0,1,0,0,2.4755826,0,0,108.45924,0,0,2.4755826,0,0,386799,0,0,6187480.779,2,7906,8216,89.12097359
11,7875351.359,3020828.439,9164254.201,7872597.224,3019654.022,9168182.755,-2754.13546,-1174.417923,3928.553383,127394237,47481320.87,238888193.9,127355518.1,47466803.9,238986377.4,-38718.84285,-14516.97305,98183.46039,0,0,1,0,0,4.791381836,0,0,265.1328964,0,0,4.791381836,0,0,542594,0,0,5355472.79,2,7906,8217,172.4897461
12,7875351.359,3020828.439,9164254.201,7872466.181,3019595.891,9168371.928,-2885.178474,-1232.548593,4117.727066,127394237,47481320.87,238888193.9,127354187.8,47466172.58,238987391,-40049.20579,-15148.28742,99197.09287,0,0,1,0,0,2.009816885,0,0,87.91962433,0,0,2.009816885,0,0,392270,0,0,5982474.773,2,7906,8384,72.35340786
13,7875351.359,3020828.439,9164254.201,7871990.008,3019399.934,9169044.059,-3361.351146,-1428.505967,4789.857113,127394237,47481320.87,238888193.9,127347435.8,47463890.61,239005828.3,-46801.18531,-17430.25696,117634.3497,0,0,1,0,0,3.451553106,0,0,296.7381792,0,0,3.451553106,0,0,684797,0,0,6017930.375,2,7906,8385,124.2559118
14,7875351.359,3020828.439,9164254.201,7872099.998,3019455.655,9168878.347,-3251.360709,-1372.784951,4624.14566,127394237,47481320.87,238888193.9,127349911.7,47464872.46,238996887.3,-44325.24497,-16448.41308,108693.3882,0,0,1,0,0,2.174443007,0,0,192.7920771,0,0,2.174443007,0,0,487117,0,0,6117604.578,2,7906,8386,78.27994823
