idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7875248.334965004,3020806.128681671,9164379.53635336,-103.02415453083813,-22.310797810554504,125.33495238609612,127394236.97560136,47481320.86912158,238888193.9478555,127392543.567319,47481078.34409882,238889803.4356513,-1693.408282354474,-242.5250227600336,1609.4877957999706,0,0,1,0.0,0.0,3.066265821456909,0.0,0.0,1267.9496583938599,0,0,3.066265821456909,0,0,11394,0.0,0.0,40114.653007040324,2,65,75,110.38556957244873
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7875237.4111020565,3020804.526624417,9164392.062273558,-113.9480174779892,-23.912855064496398,137.8608725834638,127394236.97560136,47481320.86912158,238888193.9478555,127392356.79458068,47481066.63252783,238889542.8053332,-1880.1810206770897,-254.23659375309944,1348.8574776947498,0,0,1,0.0,0.0,3.4355361461639404,0.0,0.0,1372.2294359207153,0,0,3.4355361461639404,0,0,15727,0.0,0.0,46087.55440096951,2,65,76,123.67930126190184
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7875183.206986564,3020792.1423179293,9164458.650695506,-168.15213297028095,-36.297161552123725,204.4492945317179,127394236.97560136,47481320.86912158,238888193.9478555,127391473.2191304,47480899.76924134,238892900.62147766,-2763.756470963359,-421.0998802408576,4706.67362216115,0,0,1,0.0,0.0,4.642651557922363,0.0,0.0,1527.5558967590332,0,0,4.642651557922363,0,0,53293,0.0,0.0,109890.21250735248,2,65,77,167.13545608520508
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7874138.340081197,3020574.6789553026,9165720.980963474,-1213.0190383372828,-253.76052417885512,1466.7795624993742,127394236.97560136,47481320.86912158,238888193.9478555,127373499.10900019,47478513.43961386,238925925.77236715,-20737.86660116911,-2807.429507724941,37731.824511647224,0,0,1,0.0,0.0,4.028922080993652,0.0,0.0,166.59057998657227,0,0,4.028922080993652,0,0,89043,0.0,0.0,768523.3738455182,2,65,78,145.04119491577148
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7873169.133044812,3020364.5218947786,9166900.345060447,-2182.2260747225955,-463.9175847028382,2646.1436594724655,127394236.97560136,47481320.86912158,238888193.9478555,127356727.59534465,47476145.44983784,238960584.45359942,-37509.38025671244,-5175.419283740222,72390.5057439208,0,0,1,0.0,0.0,4.6512131690979,0.0,0.0,209.58376121520996,0,0,4.6512131690979,0,0,147027,0.0,0.0,1291594.4763561534,2,65,81,167.4436740875244
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7873081.591549472,3020355.9305217713,9166996.477928728,-2269.7675700625405,-472.5089577101171,2742.2765277531,127394236.97560136,47481320.86912158,238888193.9478555,127356388.71828814,47476122.579408616,238965755.7943666,-37848.25731322169,-5198.289712965488,77561.84651109576,0,0,1,0.0,0.0,2.762700080871582,0.0,0.0,130.90637111663818,0,0,2.762700080871582,0,0,204918,0.0,0.0,1547742.5644897267,2,65,304,99.45720291137695
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7872794.739876913,3020296.853465293,9167342.406657798,-2556.6192426215857,-531.5860141883604,3088.2052568234503,127394236.97560136,47481320.86912158,238888193.9478555,127351852.7888912,47475492.56800423,238976811.77672368,-42384.18671016395,-5828.301117353141,88617.82886818051,0,0,1,0.0,0.0,3.779977321624756,0.0,0.0,178.54421997070312,0,0,3.779977321624756,0,0,238525,0.0,0.0,1735491.780180467,2,65,305,136.0791835784912
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7873301.3239491815,3020403.2030414953,9166729.473009348,-2050.0351703530177,-425.2364379861392,2475.2716083731502,127394236.97560136,47481320.86912158,238888193.9478555,127359990.84312999,47476663.31368343,238955819.40866244,-34246.13247136772,-4657.555438153446,67625.46080693603,0,0,1,0.0,0.0,2.6215484142303467,0.0,0.0,159.7501573562622,0,0,2.6215484142303467,0,0,173754,0.0,0.0,1334666.340354666,2,65,306,94.37574291229248
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7872276.236267412,3020189.41612462,9167968.347607965,-3075.122852122411,-639.0233548614196,3714.1462069898844,127394236.97560136,47481320.86912158,238888193.9478555,127343575.96128462,47474340.87482715,238996467.48913676,-50661.01431673765,-6979.994294434786,108273.5412812531,0,0,1,0.0,0.0,3.837721586227417,0.0,0.0,372.60168170928955,0,0,3.837721586227417,0,0,283668,0.0,0.0,2053657.0263691128,2,65,309,138.157977104187
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7875006.695951814,3020752.375857156,9164674.928191056,-344.66316772066057,-76.0636223256588,420.7267900817096,127394236.97560136,47481320.86912158,238888193.9478555,127388484.93170573,47480390.02032509,238902978.44018364,-5752.043895632029,-930.8487964943051,14784.49232813716,0,0,1,0.0,0.0,4.722342014312744,0.0,0.0,316.94322395324707,0,0,4.722342014312744,0,0,111778,0.0,0.0,253161.1455594846,2,65,310,170.0043125152588
