idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7874196.6482340265,3020597.128093613,9165640.223672314,-1154.710885507986,-231.31138586858287,1386.0222713388503,127394236.97560136,47481320.86912158,238888193.9478555,127376563.68870121,47478867.493686125,238939512.2733763,-17673.286900147796,-2453.3754354566336,51318.32552078366,0,0,1,0.0,0.0,3.580760955810547,0.0,0.0,817.8056716918945,0,0,3.580760955810547,0,0,623764,0.0,0.0,2666434.436379552,2,649,6655,128.9073944091797
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7874432.549458855,3020650.319064709,9165351.131476447,-918.8096606796607,-178.1204147725366,1096.9300754722208,127394236.97560136,47481320.86912158,238888193.9478555,127379462.68460077,47479476.77550437,238927931.68078724,-14774.291000589728,-1844.093617208302,39737.73293173313,0,0,1,0.0,0.0,4.2220845222473145,0.0,0.0,915.1587352752686,0,0,4.2220845222473145,0,0,238577,0.0,0.0,785732.4767905552,2,649,6783,151.99504280090332
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7874658.398627742,3020690.854962818,9165084.74640945,-692.9604917922989,-137.58451666356996,830.5450084749609,127394236.97560136,47481320.86912158,238888193.9478555,127383498.20657012,47479910.44128861,238919043.3771844,-10738.769031241536,-1410.427832968533,30849.429328888655,0,0,1,0.0,0.0,3.8615851402282715,0.0,0.0,1131.7186374664307,0,0,3.8615851402282715,0,0,430528,0.0,0.0,1810678.514409597,2,649,6784,139.01706504821777
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7869465.816824028,3019654.796498375,9171313.386677615,-5885.542295506224,-1173.6429811064154,7059.185276640579,127394236.97560136,47481320.86912158,238888193.9478555,127302975.04406452,47469726.03293064,239116278.41705218,-91261.93153683841,-11594.83619093895,228084.4691966772,0,0,1,0.0,0.0,3.9016590118408203,0.0,0.0,433.5871925354004,0,0,3.9016590118408203,0,0,974210,0.0,0.0,6938548.20932008,2,649,6787,140.45972442626953
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7874840.116962227,3020715.8479109574,9164878.035126783,-511.24215730745345,-112.59156852401793,623.8337258081883,127394236.97560136,47481320.86912158,238888193.9478555,127385966.06340253,47480067.3760187,238909346.95295376,-8270.91219882667,-1253.4931028783321,21153.00509825349,0,0,1,0.0,0.0,2.221289873123169,0.0,0.0,1247.8474760055542,0,0,2.221289873123169,0,0,288682,0.0,0.0,1193249.2547525167,2,650,126,79.96643543243408
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7874890.889170994,3020728.087792699,9164815.023036253,-460.4699485404417,-100.35168678220361,560.8216352779418,127394236.97560136,47481320.86912158,238888193.9478555,127387100.30697379,47480139.068751216,238910567.9737987,-7136.66862757504,-1181.8003703653812,22374.02594318986,0,0,1,0.0,0.0,2.7160487174987793,0.0,0.0,429.02245903015137,0,0,2.7160487174987793,0,0,455392,0.0,0.0,1795636.197436127,2,650,127,97.77775382995605
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7874331.590155599,3020587.785347008,9165514.62449738,-1019.768963935785,-240.65413247328252,1260.4230964053422,127394236.97560136,47481320.86912158,238888193.9478555,127376265.52837273,47478434.33840201,238941949.32498074,-17971.447228625417,-2886.5307195708156,53755.37712523341,0,0,1,0.0,0.0,3.6720683574676514,0.0,0.0,901.781979560852,0,0,3.6720683574676514,0,0,483032,0.0,0.0,1767994.3453115928,2,650,128,132.19446086883545
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7875077.2742953,3020758.384087245,9164598.341617448,-274.0848242342472,-70.05539223644882,344.14021647349,127394236.97560136,47481320.86912158,238888193.9478555,127389434.33804175,47480318.408440344,238908956.73909843,-4802.637559607625,-1002.4606812372804,20762.791242927313,0,0,1,0.0,0.0,3.146716833114624,0.0,0.0,310.9198350906372,0,0,3.146716833114624,0,0,463966,0.0,0.0,1862044.5172878515,2,650,131,113.28180599212646
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7872833.567573444,3020267.197783985,9167333.234642547,-2517.791546090506,-561.2416954962537,3079.0332415718585,127394236.97560136,47481320.86912158,238888193.9478555,127350964.18419854,47475011.67102689,239015815.81679586,-43272.79140281677,-6309.198094688356,127621.8689403534,0,0,1,0.0,0.0,4.4517059326171875,0.0,0.0,391.01342010498047,0,0,4.4517059326171875,0,0,754736,0.0,0.0,4042885.393879587,2,650,134,160.26141357421875
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7874551.938291569,3020643.972809331,9165238.088899082,-799.4208279652521,-184.46667015040293,983.8874981068075,127394236.97560136,47481320.86912158,238888193.9478555,127380452.15510169,47479249.01158938,238927007.115818,-13784.820499673486,-2071.8575322031975,38813.16796249151,0,0,1,0.0,0.0,2.7963240146636963,0.0,0.0,1362.7825384140015,0,0,2.7963240146636963,0,0,379731,0.0,0.0,1567170.9311369152,2,650,135,100.66766452789307
10,7875351.3591195345,3020828.4394794814,9164254.201400975,7874880.30923879,3020701.485619048,9164852.205142116,-471.0498807448894,-126.95386043330655,598.0037411414087,127394236.97560136,47481320.86912158,238888193.9478555,127385989.89236724,47479644.406394005,238928506.55509746,-8247.083234116435,-1676.4627275764942,40312.60724195838,0,0,1,0.0,0.0,3.943972587585449,0.0,0.0,646.0979461669922,0,0,3.943972587585449,0,0,806957,0.0,0.0,2675151.923404038,2,650,137,141.98301315307617
11,7875351.3591195345,3020828.4394794814,9164254.201400975,7872850.471187772,3020294.0710730324,9167289.457739096,-2500.887931762263,-534.3684064489789,3035.2563381213695,127394236.97560136,47481320.86912158,238888193.9478555,127354062.87320408,47475477.017881006,239022363.3876704,-40174.10239727795,-5843.851240575314,134169.4398148954,0,0,1,0.0,0.0,3.432257652282715,0.0,0.0,285.4244155883789,0,0,3.432257652282715,0,0,1114002,0.0,0.0,6269606.651180428,2,650,188,123.56127548217773
12,7875351.3591195345,3020828.4394794814,9164254.201400975,7872183.308699335,3020137.4210423953,9168113.270258235,-3168.050420199521,-691.0184370861389,3859.0688572600484,127394236.97560136,47481320.86912158,238888193.9478555,127342915.22901836,47473704.621031724,239072010.99163827,-51321.746582999825,-7616.2480898573995,183817.04378277063,0,0,1,0.0,0.0,4.33210563659668,0.0,0.0,347.7736358642578,0,0,4.33210563659668,0,0,1458970,0.0,0.0,7698029.089168317,2,650,189,155.95580291748047
13,7875351.3591195345,3020828.4394794814,9164254.201400975,7872684.717460895,3020215.233817909,9167534.048721168,-2666.6416586395353,-613.205661572516,3279.847320193425,127394236.97560136,47481320.86912158,238888193.9478555,127349214.94442089,47474417.86421439,239063858.56396487,-45022.03118047118,-6903.0049071908,175664.61610937119,0,0,1,0.0,0.0,4.7744460105896,0.0,0.0,542.1101360321045,0,0,4.7744460105896,0,0,1558111,0.0,0.0,6996417.085147078,2,650,192,171.8800563812256
14,7875351.3591195345,3020828.4394794814,9164254.201400975,7872600.377436803,3020191.639602094,9167641.982961064,-2750.98168273177,-636.7998773874715,3387.781560089439,127394236.97560136,47481320.86912158,238888193.9478555,127347621.78930022,47474142.80032614,239072686.74725088,-46615.18630114198,-7178.068795442581,184492.7993953824,0,0,1,0.0,0.0,4.734164714813232,0.0,0.0,546.7245540618896,0,0,4.734164714813232,0,0,1597953,0.0,0.0,7159965.61474662,2,650,193,170.42992973327637
15,7875351.3591195345,3020828.4394794814,9164254.201400975,7874666.998860158,3020638.8869824563,9165128.114157354,-684.3602593764663,-189.55249702511355,873.9127563796937,127394236.97560136,47481320.86912158,238888193.9478555,127381166.69968873,47478724.881368324,238956144.69348332,-13070.275912627578,-2595.9877532571554,67950.74562782049,0,0,1,0.0,0.0,4.947896957397461,0.0,0.0,316.10071563720703,0,0,4.947896957397461,0,0,1025015,0.0,0.0,3535235.0233720136,2,650,194,178.1242904663086
16,7875351.3591195345,3020828.4394794814,9164254.201400975,7871410.264397866,3019889.2568330625,9169134.47876908,-3941.0947216684,-939.1826464189216,4880.277368105948,127394236.97560136,47481320.86912158,238888193.9478555,127325584.79117087,47470675.44456775,239163339.48366228,-68652.1844304949,-10645.424553833902,275145.5358067751,0,0,1,0.0,0.0,4.499688148498535,0.0,0.0,240.27886390686035,0,0,4.499688148498535,0,0,1715749,0.0,0.0,7902727.356136978,2,650,195,161.98877334594727
17,7875351.3591195345,3020828.4394794814,9164254.201400975,7869300.067649878,3019594.5251227906,9171539.407227322,-6051.291469656862,-1233.9143566908315,7285.205826347694,127394236.97560136,47481320.86912158,238888193.9478555,127300312.392522,47467769.336443126,239211702.58090764,-93924.58307935297,-13551.532678455114,323508.6330521405,0,0,1,0.0,0.0,4.877007484436035,0.0,0.0,224.15337753295898,0,0,4.877007484436035,0,0,2062838,0.0,0.0,12117347.93183124,2,650,604,175.57226943969727
18,7875351.3591195345,3020828.4394794814,9164254.201400975,7874617.826536766,3020669.9872063515,9165146.186256874,-733.5325827682391,-158.4522731299512,891.9848558995873,127394236.97560136,47481320.86912158,238888193.9478555,127383244.59388603,47479277.13407343,238931776.97844052,-10992.381715327501,-2043.7350481525064,43583.03058502078,0,0,1,0.0,0.0,4.540374279022217,0.0,0.0,1228.3387470245361,0,0,4.540374279022217,0,0,873496,0.0,0.0,3032996.789690435,2,650,609,163.4534740447998
